,wpm,wpm,wpm,acc,acc
,mean,median,count,mean,median
date,,,,,
2025-10-10,63.777230769230776,64.4,65,92.17092307692307,92.62
2025-10-11,69.44075949367088,69.2,79,91.8159493670886,92.51
2025-10-12,67.53015625,68.2,64,91.09343750000001,91.335
2025-10-14,67.74759999999999,68.4,75,92.80906666666667,92.75
2025-10-15,69.67708333333333,70.0,96,92.8628125,93.19
2025-10-16,71.71285714285715,70.8,7,93.09714285714287,92.72
2025-10-17,72.98421487603306,71.03,121,91.23752066115702,91.41
2025-10-18,72.4175,72.795,20,93.511,93.53999999999999
2025-10-19,71.10347517730497,70.0,141,90.86056737588653,91.51
2025-10-21,69.19833333333332,70.195,18,92.06,92.025
2025-10-22,63.199999999999996,62.4,6,90.05833333333334,89.325
2025-10-23,81.39032258064516,80.80000000000001,62,92.21790322580645,92.875
2025-10-24,69.83866666666667,68.80000000000001,60,93.03716666666666,92.89
2025-10-28,72.39571428571428,70.8,7,93.39285714285714,92.54
2025-10-29,79.75292682926829,77.39500000000001,82,92.36780487804877,93.03
2025-10-30,73.2547619047619,73.6,21,93.25857142857143,93.79
2025-10-31,91.10961538461538,86.12,26,92.37384615384616,92.58500000000001
2025-11-01,97.8835,97.65,20,94.34450000000001,95.4
2025-11-04,73.06333333333333,73.6,3,94.13333333333333,93.72
2025-11-06,99.27416666666666,102.565,12,95.8775,95.66
2025-11-08,78.84875,78.39,8,90.1825,91.965
2025-11-11,97.446,99.95,5,96.738,96.0
2025-11-14,70.8,70.8,1,94.87,94.87
2025-11-17,79.99,79.99,1,96.63,96.63
